Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
10192,JARDINIERE DE LA PLACE SAINTE-OPPORTUNE,D?corations sur la voie publique,Jardiniere,PLACE,SAINTE OPPORTUNE,75001,58,70,70,Non,38.52238774,1,
4,JARDINET DE L'ORATOIRE,Jardinets d?coratifs,Jardinet,RUE DE,RIVOLI,75001,293,122,12,Oui,82.89790475,1,Non
818,JARDINET PLACE DU LT HENRI KARCHER,Jardinets d?coratifs,Jardinet,RUE DU,BOULOI,75001,246,240,240,Oui,76.90169695,1,Non
3,SQUARE DE LA PLACE DAUPHINE,Promenades ouvertes,Square,PLACE,DAUPHINE,75001,2992,2635,182,Non,239.018952,1,Oui
10189,DECORATION DE LA MAIRIE DU 1ER ARRONDISSEMENT,D?corations sur la voie publique,Decoration,PLACE DU,LOUVRE,75001,7,12,12,Oui,11.16911305,3,
10191,JARDINIERES ANGLE RUE DE RIVOLI - RUE DES HALLES,D?corations sur la voie publique,Jardiniere,RUE DES,HALLES,75001,45,34,34,Non,57.68148977,2,
10190,JARDINIERE DE LA RUE MAUCONSEIL,D?corations sur la voie publique,Jardiniere,RUE,MAUCONSEIL,75001,47,40,40,Non,31.5156124,1,
10193,JARDINIERE DE LA PLACE MARGUERITE DE NAVARRE,D?corations sur la voie publique,Jardiniere,PLACE,MARGUERITE DE NAVARRE,75001,42,33,33,Non,33.16440793,1,
1,JARDIN NELSON MANDELA,Promenades ouvertes,Jardin,RUE,BERGER,75001,19366,43170,15391,Non,1638.091822,1,Oui
2,SQUARE DU VERT GALANT,Promenades ouvertes,Square,PLACE DU,PONT NEUF,75001,1712,1642,923,Oui,222.0362983,1,Oui
5,SQUARE MICHEL CALDAGUES,Jardinets d?coratifs,Square,PLACE DU,LOUVRE,75001,659,663,605,Oui,225.8172478,2,Non
11235,JARDINIERE VERTICALE DU 19 RUE TIQUETONNE,Murs v?g?talis?s,Murs vegetalises,RUE,TIQUETONNE,75002,2,,,Non,9.88054154,1,
7,SQUARE JACQUES BIDAUT,Promenades ouvertes,Square,RUE DE LA,LUNE,75002,354,362,126,Oui,85.44657073,1,Non
10197,JARDINIERE DE LA RUE LEOPOLD BELLAN,D?corations sur la voie publique,Jardiniere,RUE,LEOPOLD BELLAN,75002,8,15,15,Non,20.61536581,3,
10970,JARDINET REAUMUR,Jardinets d?coratifs,Jardinet,PLACE,PIERRE LAZAREFF,75002,54,65,65,Oui,49.85202025,2,Non
11116,JARDINIERE VERTICALE DU 23 RUE DE PALESTRO,Murs v?g?talis?s,Murs vegetalises,RUE DE,PALESTRO,75002,0,,,Non,4.79374277,3,
11989,JARDINIERE VERTICALE DU 7 RUE PAUL LELONG,Murs v?g?talis?s,Murs vegetalises,RUE,PAUL LELONG,75002,,,,Non,,1,
11537,JARDINIERE ANGLE RUE DE TURBIGO RUE SAINT DENIS,D?corations sur la voie publique,Jardiniere,RUE DE,TURBIGO,75002,34,35,35,Non,29.27502576,2,
10194,DECORATION DE LA RUE TIQUETONNE,D?corations sur la voie publique,Decoration,RUE,TIQUETONNE,75002,83,42,42,Non,44.74871148,1,
11883,JARDINIERE VERTICALE DU 27 RUE LEOPOLD BELLAN,Murs v?g?talis?s,Murs vegetalises,RUE,LEOPOLD BELLAN,75002,8,,,Non,,3,
823,JARDINET DE LA RUE MARIE STUART,Jardinets d?coratifs,Jardinet,RUE,MARIE STUART,75002,17,16,7,Oui,17.33436547,1,Non
10195,JARDINIERE DE LA RUE SAINT-SAUVEUR,D?corations sur la voie publique,Jardiniere,RUE,SAINT SAUVEUR,75002,39,48,18,Non,26.680484,1,
10753,JARDINIERE DE LA PLACE GOLDONI,D?corations sur la voie publique,Jardiniere,RUE,DUSSOUBS,75002,94,95,95,Non,81.22531559,1,
11236,JARDINIERE VERTICALE DU 25 RUE TIQUETONNE,Murs v?g?talis?s,Murs vegetalises,RUE,TIQUETONNE,75002,2,,,Non,9.43219438,1,
11882,JARDINIERE VERTICALE DU 23 RUE POISSONNIERE,Murs v?g?talis?s,Murs vegetalises,RUE,POISSONNIERE,75002,0,,,Non,,2,
10746,JARDINETS ANGLE DES RUES DES PETITS CARREAUX - ABOUKIR,Jardinets d?coratifs,Jardinet,RUE DES,PETITS CARREAUX,75002,118,126,126,Oui,71.65348683,2,Non
11884,JARDINIERE DE LA RUE DALAYRAC,D?corations sur la voie publique,Jardiniere,RUE,DALAYRAC,75002,37,40,40,Non,,0,
11115,JARDINIERE VERTICALE DU 10B RUE SAINT-SAUVEUR,Murs v?g?talis?s,Murs vegetalises,RUE,SAINT SAUVEUR,75002,0,,,Non,7.7606356,1,
820,JARDINET LAZAREFF,Jardinets d?coratifs,Jardinet,PLACE,PIERRE LAZAREFF,75002,406,449,446,Oui,261.7765491,3,Non
11535,JARDIN PARTAGE LE JARDIN DE BONNE,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,LEOPOLD BELLAN,75002,32,30,30,Oui,29.35348032,1,Non
11881,JARDINIERE VERTICALE DU 43 RUE DES PETITS CARREAUX,Murs v?g?talis?s,Murs vegetalises,RUE DES,PETITS CARREAUX,75002,3,,,Non,,0,
6,SQUARE LOUVOIS,Promenades ouvertes,Square,RUE DE,RICHELIEU,75002,1826,1925,929,Oui,169.5956452,1,Non
10196,JARDINIERE ARCHE MONTORGUEUIL,D?corations sur la voie publique,Jardiniere,RUE DES,PETITS CARREAUX,75002,6,10,10,Non,16.20779853,2,
11395,JARDIN PARTAGE DU SQUARE JACQUES BIDAUT,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DE LA,LUNE,75002,44,45,45,Oui,34.81605339,1,Non
11791,JARDINIERE ANGLE DES RUES LOUVRE - MONTMARTRE,D?corations sur la voie publique,Jardiniere,RUE,MONTMARTRE,75002,121,120,120,Non,72.4255085,2,
13,SQUARE SAINT-GILLES - GRAND VENEUR - PAULINE ROLAND,Promenades ouvertes,Square,RUE DU,GRAND VENEUR,75003,948,987,420,Oui,124.0012046,1,Non
11120,JARDINIERE VERTICALE DU 66 RUE DE SAINTONGE,Murs v?g?talis?s,Murs vegetalises,RUE  DE,SAINTONGE,75003,0,,,Non,1.86675461,1,
11209,JARDINIERE VERTICALE DU 197 RUE TEMPLE,Murs v?g?talis?s,Murs vegetalises,RUE DU,TEMPLE,75003,0,,,Non,3.19521749,2,
10,SQUARE LEOPOLD ACHILLE,Promenades ouvertes,Square,RUE DU,PARC ROYAL,75003,2233,2190,1078,Oui,205.5815292,1,Non
825,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),Promenades ouvertes,Jardin,IMPASSE,BERTHAUD,75003,3920,3707,2401,Oui,315.4824816,1,Non
10204,JARDINIERE DE LA RUE DE FRANCHE COMTE,D?corations sur la voie publique,Jardiniere,RUE  DE,FRANCHE COMTE,75003,33,30,30,Non,40.60398732,1,
11,SQUARE GEORGES CAIN,Promenades ouvertes,Square,RUE,PAYENNE,75003,2060,2128,1067,Oui,185.0521065,1,Non
14,JARDINETS DE LA MAIRIE DU IIIEME,Jardinets d?coratifs,Jardinet,RUE,PERREE,75003,388,236,108,Oui,117.8944785,2,Non
11208,JARDINIERE VERTICALE DU 7 IMPASSE BERTHAUD,Murs v?g?talis?s,Murs vegetalises,IMPASSE,BERTHAUD,75003,2,,,Non,8.08556006,1,
11790,JARDINIERE DE L'EGLISE DU PASSAGE SAINTE-ELISABETH,D?corations sur la voie publique,Jardiniere,PASSAGE,SAINTE-ELISABETH,75003,85,88,88,Non,98.01488721,1,
11117,JARDINIERE VERTICALE DU 14 RUE DES VERTUS,Murs v?g?talis?s,Murs vegetalises,RUE DES,VERTUS,75003,0,,,Non,6.27214346,1,
10202,JARDINIERE DE LA RUE ROGER VERLOMME,D?corations sur la voie publique,Jardiniere,RUE,ROGER VERLOMME,75003,22,20,20,Non,23.728462,1,
11538,JARDINIERE VERTICALE DU 16 RUE DE LA PERLE,Murs v?g?talis?s,Murs vegetalises,RUE DE LA,PERLE,75003,3,,,Non,18.50699661,6,
11985,JARDIN ARNAUD BELTRAME,Promenades ouvertes,Jardin,RUE DES,MINIMES,75003,,,,Oui,,0,Non
11886,JARDINIERE VERTICALE DU 37-47 BOULEVARD SAINT-MARTIN,Murs v?g?talis?s,Murs vegetalises,BOULEVARD,SAINT MARTIN,75003,7,,,Non,,3,
11916,JARDINIERE VERTICALE DU 90 RUE VIEILLE DU TEMPLE,Murs v?g?talis?s,Murs vegetalises,RUE,VIEILLE DU TEMPLE,75003,,,,Non,,1,
12,JARDIN DE L'HOTEL SALE - LEONOR FINI,Promenades ouvertes,Jardin,RUE,VIEILLE DU TEMPLE,75003,1346,1110,320,Oui,150.1610879,1,Non
8,SQUARE DU TEMPLE - ELIE WIESEL,Promenades ouvertes,Square,RUE DE,BRETAGNE,75003,7695,7965,3751,Oui,373.7266173,1,Non
10198,JARDINIERES DU PARKING SAINT-MARTIN,D?corations sur la voie publique,Jardiniere,RUE,SAINT MARTIN,75003,73,73,73,Non,97.17238812,3,
10203,JARDINET DE LA PLACE RENEE VIVIEN,D?corations sur la voie publique,Jardiniere,RUE DES,HAUDRIETTES,75003,259,270,130,Non,72.64292434,1,
10206,JARDINIERE DE LA RUE DES VERTUS,D?corations sur la voie publique,Jardiniere,RUE DES,VERTUS,75003,7,8,8,Non,10.88978978,1,
11396,JARDIN PARTAGE MADELEINE SCUDERY-LES OISEAUX,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DES,OISEAUX,75003,125,125,125,Oui,45.65910029,1,Non
11948,JARDINIERES DU PARVIS DE L'EGLISE SAINT NICOLAS DES CHAMPS,D?corations sur la voie publique,Jardiniere,RUE,SAINT MARTIN,75003,37,,,Non,,0,
11536,JARDIN PARTAGE DU CONSERVATOIRE DES ARTS ET METIERS,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,VAUCANSON,75003,133,136,136,Oui,54.33301343,1,Non
11894,JARDIN BERTHE WEILL,Promenades ouvertes,Jardin,RUE DE,THORIGNY,75003,302,350,350,Oui,,1,Non
824,JARDINET MADELEINE DE SCUDERY,Promenades ouvertes,Jardinet,RUE DES,OISEAUX,75003,127,130,130,Oui,45.86660036,1,Non
11394,JARDIN LAZARE RACHLINE,Promenades ouvertes,Jardin,RUE,PAYENNE,75003,423,392,392,Oui,84.179521,1,Non
11885,JARDINIERE VERTICALE DU 6 RUE PAUL DUBOIS,Murs v?g?talis?s,Murs vegetalises,RUE,PAUL DUBOIS,75003,5,,,Non,,0,
10142,JARDIN DU MUSEE CARNAVALET,Jardins privatifs,Jardin,RUE  DE,SEVIGNE,75003,1247,1337,448,Oui,226.184835,2,Non
11118,JARDINIERE VERTICALE DU 30 RUE DES FRANCS BOURGEOIS,Murs v?g?talis?s,Murs vegetalises,RUE DES,FRANCS BOURGEOIS,75003,0,,,Non,2.86916448,1,
11990,JARDINIERES DE LA RUE DE PICARDIE,D?corations sur la voie publique,Jardiniere,RUE DE,PICARDIE,75003,,,,Non,,0,
11119,JARDINIERE VERTICALE DU 5 RUE DE MONTMORENCY,Murs v?g?talis?s,Murs vegetalises,RUE  DE,MONTMORENCY,75003,0,,,Non,3.73327256,2,
10199,JARDINIERES DE LA RUE DUPETIT-THOUARS,D?corations sur la voie publique,Jardiniere,RUE,DUPETIT THOUARS,75003,132,136,136,Non,130.8093697,8,
10207,JARDINIERE ANGLE DES RUES DE THORIGNY - PERLE,D?corations sur la voie publique,Jardiniere,RUE  DE,THORIGNY,75003,28,28,28,Non,20.91081547,1,
11397,JARDIN PARTAGE ANNE FRANK,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,IMPASSE,BERTHAUD,75003,78,75,75,Oui,35.56873328,1,Non
11887,JARDINIERE VERTICALE DU 31-51 RUE DU VERTBOIS,Murs v?g?talis?s,Murs vegetalises,RUE DU,VERTBOIS,75003,4,,,Non,,10,
9,SQUARE EMILE CHAUTEMPS,Promenades ouvertes,Square,BOULEVARD DE,SEBASTOPOL,75003,4073,4069,1153,Oui,264.0911828,1,Non
10972,JARDINIERE DE LA RUE DU PREVOT,D?corations sur la voie publique,Jardiniere,RUE DU,PREVOT,75004,3,3,3,Non,8.46105159,1,
11686,JARDIN PARTAGE DU JARDIN DES ROSIERS-JOSEPH MIGNERET,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE DES,ROSIERS,75004,84,46,46,Oui,49.07585825,1,Non
11290,JARDIN DES COMBATTANTS DE LA NUEVE,Promenades ouvertes,Jardin,PLACE DE L',HOTEL DE VILLE   ESPLANADE DE LA LIBERATION,75004,1735,1600,950,Oui,227.684758,1,Non
10730,JARDINIERE DE LA RUE LOBAU,D?corations sur la voie publique,Jardiniere,RUE,LOBAU,75004,22,20,20,Non,38.59586754,1,
24,JARDIN MARIE TRINTIGNANT,Promenades ouvertes,Jardin,RUE DE L,AVE MARIA,75004,841,840,345,Non,115.92949,1,Oui
19,SQUARE DE LA TOUR SAINT-JACQUES,Promenades ouvertes,Square,RUE,SAINT MARTIN,75004,5489,5860,3337,Oui,426.8223093,1,Non
10151,SQUARE ALBERT SCHWEITZER,Promenades ouvertes,Square,RUE,DE L'HOTEL-DE-VILLE,75004,854,980,121,Oui,119.4384658,1,Non
826,JARDINET DE LA RUE DES URSINS,Jardinets d?coratifs,Jardinet,RUE DES,URSINS,75004,136,130,63,Oui,59.01304869,1,Non
10971,JARDINIERE DE LA RUE SAINT-BON,D?corations sur la voie publique,Jardiniere,RUE,SAINT-BON,75004,34,35,35,Non,29.96523183,1,
10729,JARDIN DES ROSIERS-JOSEPH MIGNERET,Promenades ouvertes,Jardin,RUE DES,FRANCS BOURGEOIS,75004,2285,2275,816,Oui,285.4707436,1,Non
10214,DECORATION DE LA PLACE DU PARVIS NOTRE-DAME,D?corations sur la voie publique,Decoration,PLACE DU,PARVIS NOTRE DAME   PLACE JEAN PAUL II,75004,656,652,652,Non,388.8915099,7,
21,JARDIN DE LA PLACE JEAN-PAUL II,Promenades ouvertes,Jardin,PLACE DU,PARVIS NOTRE DAME   PLACE JEAN PAUL II,75004,1144,2783,1230,Non,328.1967462,1,Oui
10131,JARDIN DE L'HOTEL DE SENS,Promenades ouvertes,Jardin,RUE DES,NONNAINS D'HYERES,75004,1424,1410,916,Oui,153.0634071,1,Non
11123,JARDINIERE VERTICALE DU 14 RUE DU PREVOT,Murs v?g?talis?s,Jardiniere,RUE DU,PREVOT,75004,0,,,Non,6.39605886,1,
11121,JARDINIERE VERTICALE DU 8 RUE SAINT-BON,Murs v?g?talis?s,Jardiniere,RUE,SAINT-BON,75004,1,,,Non,4.86435816,1,
11292,JARDINIERES DE L'ANGLE DE LA RUE DU CLOITRE SAINT-MERRI,D?corations sur la voie publique,Jardiniere,RUE DU,CLOITRE SAINT-MERRI,75004,18,20,20,Non,23.27141376,1,
10221,DECORATION DE LA PLACE DE L'HOTEL DE VILLE,D?corations sur la voie publique,Decoration,PLACE DE L',HOTEL DE VILLE   ESPLANADE DE LA LIBERATION,75004,1291,387,370,Non,240.2929711,2,
11293,JARDINIERE DE L'ANCIENNE FONTAINE SAINT MERRI,D?corations sur la voie publique,Jardiniere,RUE,SAINT-MERRI,75004,86,80,80,Non,42.61457352,1,
10725,JARDINIERES DE LA RUE DU TRESOR,D?corations sur la voie publique,Jardiniere,RUE DU,TRESOR,75004,236,220,220,Non,293.8818644,15,
22,SQUARE HENRI GALLI,Promenades ouvertes,Square,BOULEVARD,HENRI IV,75004,2007,2000,1088,Oui,195.8222317,1,Oui
10215,DECORATION DE LA PLACE LOUIS LEPINE,D?corations sur la voie publique,Decoration,PLACE,LOUIS LEPINE,75004,70,92,92,Non,79.99471817,1,
11295,JARDINIERES ILOT FLUVIAL,D?corations sur la voie publique,Jardiniere,PORT,HENRI IV,75004,169,180,180,Non,220.397278,4,
10696,DECORATION DE LA RUE DES ROSIERS,D?corations sur la voie publique,Decoration,RUE DES,ROSIERS,75004,92,85,85,Non,164.6166601,8,
26,SQUARE BARYE,Promenades ouvertes,Square,BOULEVARD,HENRI IV,75004,3077,2975,561,Oui,284.7629002,1,Oui
10219,JARDINIERES DE LA CITE DES ARTS,D?corations sur la voie publique,Jardiniere,RUE DE L',HOTEL DE VILLE,75004,18,4,4,Non,34.1950658,4,
10974,JARDINIERE DE LA PLACE MARIE CLAUDE VAILLANT COUTURIER,D?corations sur la voie publique,Jardiniere,PLACE,MARIE-CLAUDE VAILLANT-COUTURIER,75004,187,224,224,Non,92.23233824,1,
10216,JARDINIERE DE LA RUE GRENIER SUR L'EAU,D?corations sur la voie publique,Jardiniere,RUE,GRENIER SUR L'EAU,75004,4,4,4,Non,9.49736053,1,
11250,JARDINIERES DE LA RUE NICOLAS FLAMEL,D?corations sur la voie publique,Jardiniere,RUE,NICOLAS FLAMEL,75004,126,136,136,Non,141.2877203,10,
20,SQUARE LOUIS XIII,Promenades ouvertes,Square,PLACE DES,VOSGES,75004,12694,12706,2548,Oui,436.8109559,1,Non
18,SQUARE JEAN XXIII,Promenades ouvertes,Square,QUAI DE L,ARCHEVECHE,75004,10985,10797,2837,Oui,647.0622392,1,Non
27,SQUARE CHARLES-VICTOR LANGLOIS,Promenades ouvertes,Square,RUE DES,BLANCS MANTEAUX,75004,1161,1140,350,Oui,162.6404748,1,Non
10228,VERGER DIT 'DU SOLDAT LABOUREUR',D?corations sur la voie publique,Jardiniere,PLACE,BAUDOYER,75004,1,1,1,Non,4.79021965,1,
11359,JARDINIERE VERTICALE DU 2 RUE DE MOUSSY,Murs v?g?talis?s,Jardiniere,RUE DE,MOUSSY,75004,1,,,Non,11.12768795,5,
29,JARDIN DES ARTS,Promenades ouvertes,Jardin,RUE DE L',HOTEL DE VILLE,75004,4314,4100,1970,Oui,331.3366627,1,Non
30,JARDIN DU PASSAGE DE L'HOTEL DE SENS,Promenades ouvertes,Jardin,RUE DES,NONNAINS D HYERES,75004,645,620,337,Oui,149.4425389,1,Non
10211,PLATE-BANDE DE LA PLACE DU BATAILLON FRANCAIS DE L'O.N.U. EN COREE,D?corations sur la voie publique,Plate-bande,PLACE DU,BATAILLON FRANCAIS DE L ONU EN COREE,75004,675,722,722,Non,236.4816516,2,
10227,DECORATION DE LA RUE DU RENARD,D?corations sur la voie publique,Decoration,RUE DU,RENARD,75004,81,44,44,Non,129.3512958,3,
28,SQUARE PRIOU - VALJEAN,Promenades ouvertes,Square,RUE DU,FIGUIER,75004,1359,1304,742,Oui,254.897696,1,Non
32,SQUARE COUPERIN,Jardinets d?coratifs,Square,RUE DES,BARRES,75004,254,270,251,Oui,75.78310621,1,Non
10217,JARDINIERES DU VILLAGE SAINT-PAUL,D?corations sur la voie publique,Jardiniere,RUE,SAINT-PAUL,75004,228,165,165,Non,246.6721156,21,
10973,JARDINIERE DE LA RUE DU CLOITRE SAINT-MERRI,D?corations sur la voie publique,Jardiniere,RUE DU,CLOITRE SAINT-MERRI,75004,17,6,6,Non,20.57215344,1,
10031,JARDIN DU CLOS DES BLANCS MANTEAUX,Promenades ouvertes,Jardin,RUE DES,BLANCS MANTEAUX,75004,1129,1000,530,Oui,166.5720091,1,Non
10218,JARDINIERES DE LA RUE DES BARRES,D?corations sur la voie publique,Jardiniere,RUE DES,BARRES,75004,153,220,220,Non,169.8735428,3,
10223,DECORATION ANGLE DES RUES DES BLANCS MANTEAUX - ARCHIVES,D?corations sur la voie publique,Decoration,RUE DES,BLAMCS MANTEAUX,75004,28,22,22,Non,24.2715683,1,
10699,DECORATION DE LA RUE BEAUBOURG,D?corations sur la voie publique,Decoration,RUE,BEAUBOURG,75004,101,56,56,Non,154.2310411,1,
11398,JARDIN PARTAGE DU CLOS DES BLANCS MANTEAUX,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,VIEILLE DU TEMPLE,75004,237,100,100,Oui,62.46766508,1,Non
11685,PARC DES RIVES DE SEINE,Promenades ouvertes,Parc,QUAI,HENRI IV,75004,4378,4769,3334,Non,2711.26852,1,Oui
11792,JARDINIERES DE LA PLACE EDMOND MICHELET,D?corations sur la voie publique,Jardiniere,PLACE,EDMOND MICHELET,75004,103,108,108,Non,79.35499089,3,
11951,JARDINIERE VERTICALE DU TEP NEUVE SAINT PIERRE,Murs v?g?talis?s,Jardiniere,RUE,NEUVE SAINT-PIERRE,75004,,,,Non,,1,
23,SQUARE DE L'ILE DE FRANCE,Promenades ouvertes,Square,QUAI DE L,ARCHEVECHE,75004,2871,2235,1090,Oui,269.6358116,1,Non
10220,JARDINIERES DU BOULEVARD MORLAND,D?corations sur la voie publique,Jardiniere,BOULEVARD,MORLAND,75004,62,30,30,Non,78.49505792,2,
11949,JARDIN DU PERE THEILHARD DE CHARDIN,Promenades ouvertes,Jardin,BOULEVARD,HENRI IV,75004,1109,1100,800,Non,,1,Oui
25,JARDIN FEDERICO GARCIA LORCA,Promenades ouvertes,Jardin,PORT DE L,HOTEL DE VILLE,75004,1958,1947,908,Non,383.7679213,1,Oui
10146,JARDIN DE L'HOTEL LAMOIGNON - MARK ASHTON,Promenades ouvertes,Jardin,RUE DES,FRANCS BOURGEOIS,75004,897,845,344,Oui,127.7269113,1,Non
11950,JARDINIERES DE LA RUE DE SULLY,D?corations sur la voie publique,Jardiniere,RUE DE,SULLY,75004,249,250,250,Non,,10,
10250,DECORATION DE LA PLACE MAUBERT,D?corations sur la voie publique,Decoration,PLACE,MAUBERT,75005,70,45,45,Non,50.26183436,1,
10251,JARDINIERES ANGLE DES RUES MONGE - SQUARE ADANSON,D?corations sur la voie publique,Jardiniere,SQUARE,ADANSON,75005,38,31,31,Non,38.23552942,2,
10265,DECORATION DE LA RUE THOUIN,D?corations sur la voie publique,Decoration,RUE,THOUIN,75005,57,100,100,Non,26.99325467,1,
10266,JARDINIERE ANGLE DES RUES DE VALENCE - PASCAL,D?corations sur la voie publique,Jardiniere,RUE DE,VALENCE,75005,33,40,40,Non,27.96104563,1,
10247,JARDINIERES DE LA PLACE JUSSIEU,D?corations sur la voie publique,Jardiniere,PLACE,JUSSIEU,75005,138,110,110,Non,113.4398841,2,
10231,JARDINIERE DE LA RUE JACQUES-HENRI LARTIGUE,D?corations sur la voie publique,Jardiniere,RUE,JACQUES-HENRI LARTIGUE,75005,21,5,5,Non,37.50217791,2,
10249,DECORATION DE LA PLACE LUCIEN HERR,D?corations sur la voie publique,Decoration,PLACE,LUCIEN HERR,75005,155,160,160,Non,109.1137164,3,
10236,JARDINIERES DU COMMISSARIAT CENTRAL DU 5EME,D?corations sur la voie publique,Jardiniere,RUE DE LA,MONTAGNE SAINTE-GENEVIEVE,75005,106,52,52,Non,87.48648403,2,
10257,JARDINIERE DE LA PLACE DE L'ESTRAPADE,D?corations sur la voie publique,Jardiniere,PLACE DE L',ESTRAPADE,75005,166,145,145,Non,143.4448744,3,
11799,JARDINIERE VERTICALE DU 39 RUE GAY-LUSSAC,Murs v?g?talis?s,Murs vegetalises,RUE,GAY-LUSSAC,75005,10,,,Non,,11,
42,SQUARE MARIUS CONSTANT,Promenades ouvertes,Square,RUE,ORTOLAN,75005,1046,1020,744,Oui,238.8937976,1,Non
10248,DECORATION DE LA RUE LAGRANGE,D?corations sur la voie publique,Decoration,RUE,LAGRANGE,75005,87,87,87,Non,72.18452333,2,
10239,JARDINIERES DE LA RUE ERASME,D?corations sur la voie publique,Jardiniere,RUE,ERASME,75005,188,116,97,Non,266.0444085,8,
10253,JARDINIERE DE LA RUE MOUFFETARD,D?corations sur la voie publique,Jardiniere,RUE,MOUFFETARD,75005,7,10,10,Non,14.78513087,1,
34,JARDIN DU MONUMENT RONSARD,Promenades ouvertes,Jardin,RUE,JEAN DE BEAUVAIS,75005,400,365,313,Oui,79.6329587,1,Oui
51,SQUARE PIERRE-GILLES DE GENNES,Jardinets d?coratifs,Square,RUE DE LA,BUCHERIE,75005,409,692,536,Oui,119.4222771,1,Non
10241,JARDINET DE LA FONTAINE SAINT-MEDARD,D?corations sur la voie publique,Jardinet,RUE,MOUFFETARD,75005,83,69,69,Non,57.33193169,1,
10260,JARDINIERES DU BOULEVARD DE PORT-ROYAL (5EME),D?corations sur la voie publique,Jardiniere,BOULEVARD DE,PORT-ROYAL,75005,852,851,851,Non,854.4623336,35,
40,SQUARE RENE VIVIANI-MONTEBELLO,Promenades ouvertes,Square,RUE DU,FOUARRE,75005,3777,4265,1594,Oui,270.4472837,1,Non
11778,JARDINIERES DE LA RUE DES FOSSES SAINT-BERNARD,D?corations sur la voie publique,Jardiniere,RUE DES,FOSSES SAINT-BERNARD,75005,424,696,696,Non,203.2627279,20,
11784,JARDIN PARTAGE DU 3 PASSAGE DES PATRIARCHES,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,PASSAGE DES,PATRIARCHES,75005,121,120,120,Oui,47.11899219,1,Non
11832,JARDIN PARTAGE DU 20 RUE ORTOLAN,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,ORTOLAN,75005,282,240,240,Oui,,3,Non
11107,SQUARE MICHEL FOUCAULT,Jardinets d?coratifs,Square,RUE DES,ECOLES,75005,623,550,550,Oui,122.8913632,1,Non
10246,DECORATION DE LA RUE DE L'HOTEL COLBERT,D?corations sur la voie publique,Decoration,RUE DE L',HOTEL COLBERT,75005,3,3,3,Non,6.49502864,1,
10740,JARDINIERES DE L'AVENUE DES GOBELINS(5),D?corations sur la voie publique,Jardiniere,AVENUE DES,GOBELINS,75005,161,332,332,Non,189.035717,10,
45,SQUARE DANIELLE MITTERAND,Promenades ouvertes,Square,RUE DE,BIEVRE,75005,379,373,198,Oui,89.6145806,1,Non
44,JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR,Promenades ouvertes,Jardin,QUAI,SAINT BERNARD,75005,30870,33143,14291,Non,1697.743301,1,Oui
10229,TALUS DE LA RUE CENSIER,D?corations sur la voie publique,Talus,RUE,CENSIER,75005,576,594,594,Non,166.1873339,1,
47,JARDIN DE L'ECOLE POLYTECHNIQUE,Promenades ouvertes,Jardin,RUE,DESCARTES,75005,8738,9083,3062,Oui,642.744392,1,Non
10237,JARDINET DE LA PLACE DE LA CONTRESCARPE,D?corations sur la voie publique,Jardinet,PLACE DE LA,CONTRESCARPE,75005,105,250,250,Non,54.7802006,1,
43,JARDIN MEDIEVAL DU MUSEE DE CLUNY,Promenades ouvertes,Jardin,BOULEVARD,SAINT GERMAIN,75005,4006,4000,200,Oui,370.9106067,1,Non
48,SQUARE FRANCOIS-AUGUSTE MARIETTE,Jardinets d?coratifs,Square,RUE DES,ECOLES,75005,459,450,450,Oui,102.6277258,1,Non
11749,JARDINIERE VERTICALE DU 29 RUE MOUFFETARD,Murs v?g?talis?s,Murs vegetalises,RUE,MOUFFETARD,75005,0,,,Non,3.2801742,1,
10234,JARDINETS DE LA RUE BUFFON,D?corations sur la voie publique,Jardinet,RUE,BUFFON,75005,161,142,142,Non,137.3380972,5,
33,SQUARE PAUL LANGEVIN,Promenades ouvertes,Square,RUE,MONGE,75005,3986,4328,1828,Oui,363.5641732,1,Non
10033,SQUARES DES ARENES DE LUTECE ET CAPITAN,Promenades ouvertes,Square,PLACE,EMILE MALE,75005,13070,12168,4803,Oui,555.0418501,1,Non
10245,DECORATION DU BOULEVARD DE L'HOPITAL (5EME),D?corations sur la voie publique,Decoration,BOULEVARD DE L',HOPITAL,75005,469,428,428,Non,433.5182606,14,
52,JARDINETS DE L'EGLISE SAINT-NICOLAS DU CHARDONNET,Jardinets d?coratifs,Jardinet,BOULEVARD,SAINT GERMAIN,75005,485,576,576,Oui,148.6658191,1,Non
