Identifiant espace vert,Nom de l'espace vert,Typologie d'espace vert,Cat?gorie,Adresse - type voie,Adresse - Libell? voie,Code postal,Surface calcul?e,Superficie totale r?elle,Surface horticole,Pr?sence cloture,P?rim?tre,Nombre d'entit?s,Ouverture 24h_24h
182,JARDIN DE REUILLY - PAUL PERNIN,Promenades ouvertes,Jardin,RUE,ALBINONI,75012,14495,15200,8354,Oui,571.1161391,1,Non
11568,32-04,P?riph?rique,Talus,,,75012,234,,,Non,116.867862,1,
11572,34-03,P?riph?rique,Talus,,,75012,3023,,,Non,523.320477,1,
11576,35-19,P?riph?rique,Talus,,,75012,266,,,Non,174.6161039,1,
205,35-02,P?riph?rique,Talus,,,75012,39,,,Non,28.18135852,1,
213,35-12,P?riph?rique,Talus,,,75012,216,,,Non,80.21768697,1,
11809,JARDINIERE VERTICALE DE LA RUE THEODORE HAMONT,Murs v?g?talis?s,Murs vegetalises,RUE,THEODORE HAMONT,75012,0,,,Non,,22,
188,COULEE VERTE RENE DUMONT - PROMENADE DU VIADUC DES ARTS,Promenades ouvertes,Promenade,AVENUE,DAUMESNIL,75012,14945,14034,8545,Oui,2723.060415,1,Non
10081,JARDIN D'AGRONOMIE TROPICALE,Promenades ouvertes,Jardin,AVENUE DE LA,BELLE GABRIELLE * NOGENT FONTENAY,75012,82086,,,Oui,1298.355918,1,Non
167,SQUARE TROUSSEAU,Promenades ouvertes,Square,RUE,ANTOINE VOLLON,75012,3790,3757,1254,Oui,284.739316,1,Non
169,SQUARE ALBERT TOURNAIRE,Promenades ouvertes,Square,PLACE,MAZAS,75012,1854,1806,910,Oui,272.6997461,1,Non
11319,ILE DE BERCY,Promenades ouvertes,Ile,ROUTE DE,CEINTURE DU LAC DAUMESNIL,75012,24568,24572,,Oui,657.9025672,1,Non
11321,SQUARE DAUMESNIL,Promenades ouvertes,Square,ROUTE DE,CEINTURE DU LAC DAUMESNIL,75012,147,147,,Non,50.87618656,1,
10336,JARDINIERE DE LA RUE VAN GOGH,D?corations sur la voie publique,Jardiniere,RUE DE,BERCY,75012,164,165,165,Non,49.30944449,1,
10330,JARDINIERES DE LA RUE MARIE LAURENCIN,D?corations sur la voie publique,Jardiniere,RUE,MARIE LAURENCIN,75012,1092,1025,1025,Non,733.8367977,16,
199,32-02,P?riph?rique,Talus,,,75012,3834,,,Non,569.5249876,1,
11569,33-00,P?riph?rique,Talus,,,75012,1740,,,Non,320.9257457,1,
204,35-01,P?riph?rique,Talus,,,75012,2166,,,Non,292.6420324,1,
216,35-16,P?riph?rique,Talus,,,75012,162,,,Non,84.34808667,1,
11708,JARDINIERE VERTICALE DU 40 RUE DE LYON,Murs v?g?talis?s,Murs vegetalises,RUE DE,LYON,75012,1,,,Non,8.84436279,3,
11768,PROMENADE PC 12 - CHARENTON - DAUMESNIL,Promenades ouvertes,Promenade,RUE DE,CHARENTON,75012,18784,18800,,Oui,1545.212166,1,Non
11841,JARDIN PARTAGE DE LA RESIDENCE ELIE FAURE,"Eph?m?res, partag?s, p?dagogiques",Jardin partage,RUE,ELIE FAURE,75012,570,500,500,Oui,,1,Non
165,JARDIN DE MARIANNE,Promenades ouvertes,Square,PLACE DE LA,NATION,75012,6133,16198,3875,Non,277.6440726,1,Oui
867,SQUARE FERNAND FOUREAU,Promenades ouvertes,Square,AVENUE DE LA,PORTE DE VINCENNES,75012,914,920,500,Oui,125.7702303,1,Non
10778,JARDINIERE DE LA RUE DORIAN,D?corations sur la voie publique,Jardiniere,RUE,DORIAN,75012,32,32,32,Non,21.9803826,1,
870,JARDINET DE LA PLACE SAINT-ESTEPHE,Jardinets d?coratifs,Jardinet,QUAI DE,BERCY,75012,2885,2690,1550,Non,312.2823626,1,
206,35-03,P?riph?rique,Talus,,,75012,1165,,,Non,216.4320531,1,
